시도,행정구역별,청년인구
부산광역시,중구,16566
부산광역시,서구,36296
부산광역시,동구,31168
부산광역시,영도구,32576
부산광역시,부산진구,150568
부산광역시,동래구,91984
부산광역시,남구,94602
부산광역시,북구,104796
부산광역시,해운대구,135584
부산광역시,사하구,109486
부산광역시,금정구,88086
부산광역시,강서구,47326
부산광역시,연제구,75164
부산광역시,수영구,71596
부산광역시,사상구,80116
부산광역시,기장군,54180
대구광역시,중구,31552
대구광역시,동구,114428
대구광역시,서구,3502
대전광역시,동구,42326
대전광역시,중구,42585
대전광역시,서구,105278
대전광역시,유성구,79211
대전광역시,대덕구,33835
광주광역시,동구,29273
광주광역시,서구,86097
광주광역시,남구,56078
광주광역시,북구,123384
광주광역시,광산구,119256
인천광역시,중구,41434
인천광역시,동구,14139
인천광역시,미추홀구,121721
인천광역시,연수구,119367
인천광역시,남동구,152202
인천광역시,부평구,145304
인천광역시,계양구,84136
인천광역시,서구,160243
인천광역시,강화군,10639
인천광역시,웅진군,4470
제주특별자치도,제주시,97779
제주특별자치도,서귀포시,30539
세종특별자치시,조치원읍,8979
세종특별자치시,연기면,565
세종특별자치시,연동면,439
세종특별자치시,부강면,1091
세종특별자치시,금남면,1340
세종특별자치시,장군면,1483
세종특별자치시,연서면,1251
세종특별자치시,전의면,804
세종특별자치시,전동면,411
세종특별자치시,소정면,366
서울특별시,종로구,22903
서울특별시,중구,18515
서울특별시,용산구,32853
서울특별시,성동구,47027
서울특별시,광진구,58727
서울특별시,동대문구,52845
서울특별시,중랑구,49325
서울특별시,성북구,60739
서울특별시,강북구,36555
서울특별시,도봉구,35991
서울특별시,노원구,63179
서울특별시,은평구,60686
서울특별시,서대문구,48849
서울특별시,마포구,62599
서울특별시,양천구,53467
서울특별시,강서구,91363
서울특별시,구로구,55070
서울특별시,금천구,33257
서울특별시,영등포구,56782
서울특별시,동작구,64986
서울특별시,관악구,101922
서울특별시,서초구,58604
서울특별시,강남구,76527
서울특별시,송파구,94582
서울특별시,강동구,49116
울산광역시,중구,48813
울산광역시,남구,81943
울산광역시,동구,34554
울산광역시,북구,53614
울산광역시,울주군,49486
