"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021,2021
"특성별(1)",특성별(2),분위기 좋은 회사,급여가 높은 회사,유명한 회사,안정적인 회사,퇴근이 빠른 회사,발전 가능성이 높은 회사,직무가 적성에 맞는 회사,복지 수준이 좋은 회사
"전체",소계,8.6,15.5,1.0,24.6,3.6,11.0,18.0,17.8
"성별",남자,8.8,17.0,1.2,22.7,2.4,13.2,18.9,15.6
"성별",여자,8.3,13.7,0.7,26.7,4.9,8.4,16.9,20.3
"연령별",만18-24세,9.6,12.7,1.0,24.7,2.9,10.2,20.3,18.7
"연령별",만25-29세,7.8,16.7,0.8,23.8,4.0,11.1,19.1,16.6
"연령별",만30-34세,8.2,17.5,1.1,25.4,4.1,11.8,13.9,18.0
"지역별",수도권,8.0,17.0,1.3,23.2,3.9,12.9,18.8,14.9
"지역별",비수도권,9.2,13.7,0.7,26.2,3.2,8.8,17.0,21.2
"학력별",고졸 이하 또는 대학 재학,9.3,16.1,1.2,24.2,3.1,11.6,19.3,15.3
"학력별",대졸이상(대학원생 포함),7.9,14.9,0.8,25.0,4.1,10.4,16.7,20.2
