지역,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,1105583,1161708,1216529,1262436,1295899,1359901,1410297,1478664,1561139,1597447
부산광역시,442199,467416,492116,514630,536064,565527,589961,620123,657711,681885
대구광역시,274152,289246,303537,316122,328901,347459,362934,379277,400494,417060
인천광역시,267059,282471,297951,312905,324255,345024,362675,384548,411483,435431
광주광역시,144732,151874,159822,166389,172572,180862,187186,195479,205666,213291
대전광역시,142979,150651,158329,165528,171568,180667,188530,198691,210784,221207
울산광역시,85736,91521,97250,103205,108768,116633,123919,132565,143367,152961
세종특별자치시,17214,17958,19777,22399,24197,26851,29178,31949,34881,37463
경기도,1135242,1195523,1254445,1318882,1374475,1467835,1551801,1651341,1775315,1881464
강원도,241694,249539,255930,261671,266152,279976,289386,302886,319691,333176
충청북도,215245,222188,228900,234813,240690,252434,261763,273425,288148,301516
충청남도,309840,320195,330807,341214,350108,362946,372515,386674,405188,419979
전라북도,303586,312764,322626,333524,341203,351282,358410,370676,386203,397619
전라남도,366524,374565,383808,391837,398916,408451,413132,422548,435880,445198
경상북도,437519,452417,467352,479634,492417,512681,529349,549415,573715,596312
경상남도,414831,431645,449017,464019,480278,504460,523165,548257,580258,608379
제주특별자치도,75925,79305,82411,85893,89189,93117,96207,100397,106154,110645
