,지역,취업률(%),지역별 강소기업 갯수,직장체육시설,전월세전환율(%),교육 학습을 위해,초등학교,중학교,고등학교,학교체육시설,지수(점),순위,마을축제 건 수,전통문화축제,관광축제,산업축제,특수목적축제,문화기반시설 수,공연사업 수,공연 횟수,생활문화시설 수,생활문화센터,평생 학습관,문화의집,생활영상시설,작은도서관,공공 체육시설,민간 체육시설,기타 체육시설,자가시설,버스터미널,철도역,공항,대규모점포,전통시장,공공의료시설,병·의원,종합병원,평균 휴양 만족 점수,건강 증진을 위해,휴양 및 휴식을 취하기 위해,취미 및 레포츠 활동을 위해,친목 활동을 위해 ,질병 치유를 위해,총먼지(TSP),기타,청년인구,경제활동인구 (천명),- 연령별(15~29세),- 연령별(30~39세),- 연령별(40~49세),- 연령별(50~59세),- 연령별(60세이상),지역별 고령화 비율(%),가중평균
0,경기,1.9695828101018555,4.923957025254639,0.4923957025254639,2.479419561880843,0.30054416073670986,0.9016324822101297,0.801451095297893,0.801451095297893,0.10018138691223663,0.3341705036975024,0.4010046044370029,0.6015069066555043,0.4678387051765034,0.6015069066555043,0.06683410073950048,0.3341705036975024,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.4010046044370029,0.13366820147900096,0.6683410073950048,0.6683410073950048,0.26733640295800193,0.5346728059160039,0.26733640295800193,0.06683410073950048,0.5346728059160039,0.6015069066555043,0.26733640295800193,0.6015069066555043,0.5346728059160039,0.4678387051765034,0.6015069066555043,0.5346728059160039,0.03418445653690526,0.04785823915166736,0.020510673922143154,0.03418445653690526,0.04102134784428631,0.0068368913073810515,0.06153202176642946,0.0068368913073810515,0.8580996232733362,0.8580996232733362,0.8580996232733362,0.8580996232733362,0.8580996232733362,0.8580996232733362,0.08580996232733362,0.686479698618669,32.24
1,서울,3.939165620203711,2.954374215152783,0.9847914050509278,2.479419561880843,0.20036277382447326,1.0018138691223664,1.0018138691223664,1.0018138691223664,0.10018138691223663,0.3341705036975024,0.3341705036975024,0.6683410073950048,0.6683410073950048,0.3341705036975024,0.06683410073950048,0.6683410073950048,0.5346728059160039,0.3341705036975024,0.4678387051765034,0.13366820147900096,0.06683410073950048,0.3341705036975024,0.06683410073950048,0.5346728059160039,0.13366820147900096,0.4010046044370029,0.5346728059160039,0.13366820147900096,0.06683410073950048,0.5346728059160039,0.6683410073950048,0.4678387051765034,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.05469513045904841,0.05469513045904841,0.020510673922143154,0.020510673922143154,0.03418445653690526,0.0068368913073810515,0.020510673922143154,0.0068368913073810515,0.7722896609460026,0.686479698618669,0.7722896609460026,0.686479698618669,0.6006697362913354,0.6006697362913354,0.25742988698200087,0.5148597739640017,30.6
2,대구,3.939165620203711,0.9847914050509278,4.923957025254639,2.2314776056927585,1.0018138691223664,0.9016324822101297,0.9016324822101297,0.9016324822101297,0.4007255476489465,0.3341705036975024,0.4678387051765034,0.13366820147900096,0.06683410073950048,0.13366820147900096,0.06683410073950048,0.13366820147900096,0.13366820147900096,0.06683410073950048,0.06683410073950048,0.13366820147900096,0.3341705036975024,0.5346728059160039,0.06683410073950048,0.20050230221850146,0.13366820147900096,0.20050230221850146,0.4010046044370029,0.4010046044370029,0.13366820147900096,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.5346728059160039,0.6683410073950048,0.6015069066555043,0.04102134784428631,0.06836891307381052,0.0068368913073810515,0.0068368913073810515,0.020510673922143154,0.0068368913073810515,0.06836891307381052,0.0068368913073810515,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.7722896609460026,0.4290498116366681,27.93
3,인천,2.954374215152783,0.9847914050509278,1.9695828101018555,1.983535649504674,0.10018138691223663,0.9016324822101297,0.801451095297893,0.9016324822101297,0.10018138691223663,0.4678387051765034,0.13366820147900096,0.13366820147900096,0.06683410073950048,0.13366820147900096,0.13366820147900096,0.13366820147900096,0.13366820147900096,0.13366820147900096,0.06683410073950048,0.13366820147900096,0.4678387051765034,0.6683410073950048,0.06683410073950048,0.3341705036975024,0.13366820147900096,0.06683410073950048,0.5346728059160039,0.6015069066555043,0.20050230221850146,0.4678387051765034,0.4678387051765034,0.5346728059160039,0.6015069066555043,0.5346728059160039,0.5346728059160039,0.6015069066555043,0.6015069066555043,0.013673782614762103,0.04785823915166736,0.013673782614762103,0.04785823915166736,0.06836891307381052,0.0068368913073810515,0.020510673922143154,0.06836891307381052,0.25742988698200087,0.25742988698200087,0.25742988698200087,0.17161992465466724,0.17161992465466724,0.25742988698200087,0.686479698618669,0.6006697362913354,22.73
4,부산,0.4923957025254639,0.9847914050509278,4.431561322729175,2.2314776056927585,0.10018138691223663,0.9016324822101297,0.9016324822101297,0.9016324822101297,0.20036277382447326,0.4010046044370029,0.26733640295800193,0.26733640295800193,0.20050230221850146,0.26733640295800193,0.06683410073950048,0.20050230221850146,0.13366820147900096,0.20050230221850146,0.20050230221850146,0.06683410073950048,0.6015069066555043,0.13366820147900096,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.3341705036975024,0.4010046044370029,0.3341705036975024,0.06683410073950048,0.4010046044370029,0.6683410073950048,0.5346728059160039,0.6683410073950048,0.6683410073950048,0.6015069066555043,0.6683410073950048,0.6015069066555043,0.013673782614762103,0.04102134784428631,0.03418445653690526,0.03418445653690526,0.0068368913073810515,0.0068368913073810515,0.06836891307381052,0.0068368913073810515,0.25742988698200087,0.25742988698200087,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.25742988698200087,0.6006697362913354,0.25742988698200087,22.66
5,광주,1.4771871075763916,0.4923957025254639,0.4923957025254639,1.7355936933165899,0.5009069345611832,1.0018138691223664,0.9016324822101297,0.9016324822101297,0.20036277382447326,0.6015069066555043,0.06683410073950048,0.06683410073950048,0.13366820147900096,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.5346728059160039,0.3341705036975024,0.6683410073950048,0.20050230221850146,0.3341705036975024,0.5346728059160039,0.26733640295800193,0.3341705036975024,0.4678387051765034,0.06683410073950048,0.6015069066555043,0.6683410073950048,0.6683410073950048,0.6683410073950048,0.6015069066555043,0.4678387051765034,0.6683410073950048,0.6683410073950048,0.03418445653690526,0.04785823915166736,0.027347565229524206,0.0068368913073810515,0.04102134784428631,0.0068368913073810515,0.06836891307381052,0.0068368913073810515,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.8580996232733362,0.6006697362913354,19.94
6,제주,4.923957025254639,0.4923957025254639,0.4923957025254639,1.983535649504674,0.10018138691223663,0.6010883214734197,0.5009069345611832,0.4007255476489465,1.0018138691223664,0.4678387051765034,0.20050230221850146,0.13366820147900096,0.13366820147900096,0.13366820147900096,0.06683410073950048,0.06683410073950048,0.20050230221850146,0.13366820147900096,0.06683410073950048,0.26733640295800193,0.20050230221850146,0.20050230221850146,0.6683410073950048,0.20050230221850146,0.20050230221850146,0.26733640295800193,0.06683410073950048,0.3341705036975024,0.13366820147900096,0.4010046044370029,0.06683410073950048,0.5346728059160039,0.4010046044370029,0.4678387051765034,0.3341705036975024,0.4678387051765034,0.4010046044370029,0.04785823915166736,0.03418445653690526,0.04102134784428631,0.013673782614762103,0.013673782614762103,0.0068368913073810515,0.0068368913073810515,0.027347565229524206,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.8580996232733362,0.5148597739640017,19.79
7,경남,0.9847914050509278,1.4771871075763916,0.4923957025254639,1.983535649504674,0.10018138691223663,0.6010883214734197,0.5009069345611832,0.5009069345611832,0.30054416073670986,0.4010046044370029,0.3341705036975024,0.6683410073950048,0.4010046044370029,0.6683410073950048,0.3341705036975024,0.4010046044370029,0.26733640295800193,0.4010046044370029,0.20050230221850146,0.3341705036975024,0.06683410073950048,0.4010046044370029,0.3341705036975024,0.5346728059160039,0.26733640295800193,0.4010046044370029,0.4010046044370029,0.06683410073950048,0.20050230221850146,0.4010046044370029,0.4678387051765034,0.26733640295800193,0.4010046044370029,0.4010046044370029,0.3341705036975024,0.4010046044370029,0.26733640295800193,0.0068368913073810515,0.06153202176642946,0.0068368913073810515,0.06836891307381052,0.013673782614762103,0.0068368913073810515,0.06836891307381052,0.0068368913073810515,0.25742988698200087,0.25742988698200087,0.17161992465466724,0.17161992465466724,0.25742988698200087,0.25742988698200087,0.6006697362913354,0.4290498116366681,19.61
8,전북,1.9695828101018555,0.4923957025254639,1.4771871075763916,0.991767824752337,0.4007255476489465,0.6010883214734197,0.5009069345611832,0.4007255476489465,0.30054416073670986,0.20050230221850146,0.5346728059160039,0.5346728059160039,0.26733640295800193,0.4678387051765034,0.4678387051765034,0.6683410073950048,0.20050230221850146,0.3341705036975024,0.20050230221850146,0.26733640295800193,0.5346728059160039,0.5346728059160039,0.26733640295800193,0.5346728059160039,0.26733640295800193,0.4010046044370029,0.20050230221850146,0.4010046044370029,0.13366820147900096,0.4010046044370029,0.5346728059160039,0.13366820147900096,0.3341705036975024,0.3341705036975024,0.26733640295800193,0.3341705036975024,0.26733640295800193,0.04102134784428631,0.06153202176642946,0.013673782614762103,0.0068368913073810515,0.013673782614762103,0.013673782614762103,0.027347565229524206,0.0068368913073810515,0.17161992465466724,0.17161992465466724,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.17161992465466724,0.686479698618669,0.17161992465466724,18.98
9,울산,2.4619785126273195,0.4923957025254639,0.4923957025254639,1.983535649504674,0.10018138691223663,0.9016324822101297,0.7012697083856564,0.7012697083856564,0.10018138691223663,0.4678387051765034,0.26733640295800193,0.06683410073950048,0.13366820147900096,0.13366820147900096,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.13366820147900096,0.20050230221850146,0.20050230221850146,0.4010046044370029,0.20050230221850146,0.3341705036975024,0.20050230221850146,0.6683410073950048,0.06683410073950048,0.26733640295800193,0.06683410073950048,0.5346728059160039,0.6683410073950048,0.6683410073950048,0.6015069066555043,0.6015069066555043,0.4010046044370029,0.6015069066555043,0.6015069066555043,0.013673782614762103,0.06836891307381052,0.0068368913073810515,0.03418445653690526,0.0068368913073810515,0.0068368913073810515,0.05469513045904841,0.0068368913073810515,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.8580996232733362,0.686479698618669,18.95
10,대전,1.4771871075763916,0.4923957025254639,0.4923957025254639,1.983535649504674,0.10018138691223663,1.0018138691223664,0.9016324822101297,0.9016324822101297,0.6010883214734197,0.5346728059160039,0.13366820147900096,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.13366820147900096,0.06683410073950048,0.26733640295800193,0.20050230221850146,0.4010046044370029,0.13366820147900096,0.20050230221850146,0.26733640295800193,0.13366820147900096,0.4678387051765034,0.20050230221850146,0.20050230221850146,0.6683410073950048,0.6683410073950048,0.26733640295800193,0.6683410073950048,0.6015069066555043,0.5346728059160039,0.6683410073950048,0.6015069066555043,0.04102134784428631,0.013673782614762103,0.05469513045904841,0.04785823915166736,0.013673782614762103,0.0068368913073810515,0.06836891307381052,0.0068368913073810515,0.08580996232733362,0.08580996232733362,0.17161992465466724,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.7722896609460026,0.6006697362913354,18.6
11,충북,2.4619785126273195,0.4923957025254639,1.4771871075763916,0.7438258685642528,0.10018138691223663,0.5009069345611832,0.4007255476489465,0.30054416073670986,0.5009069345611832,0.13366820147900096,0.6015069066555043,0.20050230221850146,0.06683410073950048,0.20050230221850146,0.6683410073950048,0.20050230221850146,0.20050230221850146,0.13366820147900096,0.06683410073950048,0.20050230221850146,0.20050230221850146,0.4010046044370029,0.13366820147900096,0.3341705036975024,0.20050230221850146,0.3341705036975024,0.26733640295800193,0.20050230221850146,0.26733640295800193,0.3341705036975024,0.5346728059160039,0.3341705036975024,0.3341705036975024,0.4010046044370029,0.20050230221850146,0.3341705036975024,0.26733640295800193,0.013673782614762103,0.027347565229524206,0.04102134784428631,0.06153202176642946,0.027347565229524206,0.020510673922143154,0.06836891307381052,0.027347565229524206,0.08580996232733362,0.17161992465466724,0.17161992465466724,0.08580996232733362,0.08580996232733362,0.17161992465466724,0.7722896609460026,0.3432398493093345,16.91
12,강원,0.9847914050509278,0.4923957025254639,1.4771871075763916,1.2397097809404214,0.10018138691223663,0.4007255476489465,0.30054416073670986,0.20036277382447326,0.20036277382447326,0.13366820147900096,0.6683410073950048,0.5346728059160039,0.20050230221850146,0.6015069066555043,0.5346728059160039,0.20050230221850146,0.26733640295800193,0.20050230221850146,0.13366820147900096,0.20050230221850146,0.26733640295800193,0.6683410073950048,0.20050230221850146,0.6683410073950048,0.13366820147900096,0.26733640295800193,0.3341705036975024,0.06683410073950048,0.6683410073950048,0.3341705036975024,0.4678387051765034,0.13366820147900096,0.20050230221850146,0.3341705036975024,0.06683410073950048,0.26733640295800193,0.20050230221850146,0.020510673922143154,0.0068368913073810515,0.06836891307381052,0.020510673922143154,0.013673782614762103,0.0068368913073810515,0.05469513045904841,0.03418445653690526,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.7722896609460026,0.17161992465466724,16.04
13,세종,0.4923957025254639,0.4923957025254639,0.4923957025254639,1.2397097809404214,0.6010883214734197,0.9016324822101297,0.9016324822101297,0.801451095297893,0.30054416073670986,0.6683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.13366820147900096,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.6683410073950048,0.3341705036975024,0.20050230221850146,0.6683410073950048,0.6015069066555043,0.3341705036975024,0.6015069066555043,0.4678387051765034,0.5346728059160039,0.6015069066555043,0.5346728059160039,0.013673782614762103,0.020510673922143154,0.05469513045904841,0.04102134784428631,0.0068368913073810515,0.0068368913073810515,0.04785823915166736,0.0068368913073810515,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.8580996232733362,0.8580996232733362,16.0
14,경북,0.9847914050509278,0.9847914050509278,1.4771871075763916,0.7438258685642528,0.4007255476489465,0.4007255476489465,0.20036277382447326,0.20036277382447326,0.30054416073670986,0.20050230221850146,0.4678387051765034,0.4010046044370029,0.3341705036975024,0.20050230221850146,0.6683410073950048,0.13366820147900096,0.26733640295800193,0.26733640295800193,0.20050230221850146,0.13366820147900096,0.13366820147900096,0.4010046044370029,0.20050230221850146,0.20050230221850146,0.13366820147900096,0.13366820147900096,0.20050230221850146,0.6683410073950048,0.26733640295800193,0.20050230221850146,0.5346728059160039,0.13366820147900096,0.20050230221850146,0.26733640295800193,0.13366820147900096,0.13366820147900096,0.13366820147900096,0.06836891307381052,0.06153202176642946,0.0068368913073810515,0.013673782614762103,0.013673782614762103,0.06836891307381052,0.06153202176642946,0.0068368913073810515,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.6006697362913354,0.17161992465466724,15.15
15,충남,0.9847914050509278,0.9847914050509278,0.4923957025254639,0.7438258685642528,0.4007255476489465,0.4007255476489465,0.20036277382447326,0.10018138691223663,0.5009069345611832,0.06683410073950048,0.6683410073950048,0.26733640295800193,0.13366820147900096,0.3341705036975024,0.26733640295800193,0.13366820147900096,0.20050230221850146,0.13366820147900096,0.20050230221850146,0.26733640295800193,0.26733640295800193,0.6015069066555043,0.13366820147900096,0.20050230221850146,0.26733640295800193,0.20050230221850146,0.4010046044370029,0.20050230221850146,0.20050230221850146,0.26733640295800193,0.4678387051765034,0.06683410073950048,0.26733640295800193,0.26733640295800193,0.20050230221850146,0.26733640295800193,0.13366820147900096,0.027347565229524206,0.027347565229524206,0.03418445653690526,0.04785823915166736,0.04785823915166736,0.04102134784428631,0.04102134784428631,0.020510673922143154,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.17161992465466724,0.686479698618669,0.3432398493093345,14.24
16,전남,2.4619785126273195,0.4923957025254639,0.4923957025254639,0.24794195618808426,0.10018138691223663,0.10018138691223663,0.10018138691223663,0.10018138691223663,0.10018138691223663,0.20050230221850146,0.6015069066555043,0.4010046044370029,0.13366820147900096,0.5346728059160039,0.4678387051765034,0.26733640295800193,0.26733640295800193,0.20050230221850146,0.13366820147900096,0.20050230221850146,0.13366820147900096,0.13366820147900096,0.06683410073950048,0.3341705036975024,0.20050230221850146,0.20050230221850146,0.3341705036975024,0.6015069066555043,0.13366820147900096,0.06683410073950048,0.4010046044370029,0.20050230221850146,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.06683410073950048,0.0068368913073810515,0.04102134784428631,0.03418445653690526,0.020510673922143154,0.03418445653690526,0.0068368913073810515,0.04785823915166736,0.0068368913073810515,0.17161992465466724,0.17161992465466724,0.08580996232733362,0.08580996232733362,0.08580996232733362,0.17161992465466724,0.686479698618669,0.08580996232733362,12.49
